ticker,side,model_p,entry_price,shares,fee,won,pnl,minutes_left,ts
MKT-0,yes,0.9622,0.94,15.96,0.063,true,0.8946,10,2026-01-05T09:00:00Z
MKT-1,yes,0.8309,0.81,18.52,0.1995,true,3.3193,5,2026-01-05T10:30:00Z
MKT-2,yes,0.9074,0.89,16.85,0.1155,false,-15.112,10,2026-01-05T12:00:00Z
MKT-3,yes,0.8256,0.81,18.52,0.1995,true,3.3193,7,2026-01-05T13:30:00Z
MKT-4,yes,0.8561,0.84,17.86,0.168,true,2.6896,5,2026-01-05T15:00:00Z
MKT-5,yes,0.944,0.92,16.3,0.084,true,1.22,5,2026-01-05T16:30:00Z
MKT-6,yes,0.9146,0.89,16.85,0.1155,true,1.738,7,2026-01-05T18:00:00Z
MKT-7,yes,0.9066,0.89,16.85,0.1155,true,1.738,5,2026-01-05T19:30:00Z
MKT-8,yes,0.827,0.81,18.52,0.1995,false,-15.2007,7,2026-01-05T21:00:00Z
MKT-9,yes,0.8829,0.86,17.44,0.147,true,2.2946,10,2026-01-05T22:30:00Z
MKT-10,yes,0.904,0.88,17.05,0.126,true,1.92,10,2026-01-06T00:00:00Z
MKT-11,yes,0.9072,0.89,16.85,0.1155,true,1.738,5,2026-01-06T01:30:00Z
MKT-12,yes,0.8346,0.81,18.52,0.1995,true,3.3193,10,2026-01-06T03:00:00Z
MKT-13,yes,0.9129,0.89,16.85,0.1155,true,1.738,5,2026-01-06T04:30:00Z
MKT-14,yes,0.9366,0.92,16.3,0.084,true,1.22,13,2026-01-06T06:00:00Z
MKT-15,yes,0.8742,0.85,17.65,0.1575,true,2.49,13,2026-01-06T07:30:00Z
MKT-16,yes,0.9248,0.9,16.67,0.105,true,1.562,7,2026-01-06T09:00:00Z
MKT-17,yes,0.8988,0.88,17.05,0.126,true,1.92,10,2026-01-06T10:30:00Z
MKT-18,yes,0.8632,0.84,17.86,0.168,false,-15.1704,13,2026-01-06T12:00:00Z
MKT-19,yes,0.8968,0.88,17.05,0.126,true,1.92,5,2026-01-06T13:30:00Z
MKT-20,yes,0.8428,0.82,18.29,0.189,true,3.1032,10,2026-01-06T15:00:00Z
MKT-21,yes,0.9643,0.94,15.96,0.063,true,0.8946,5,2026-01-06T16:30:00Z
MKT-22,yes,0.871,0.85,17.65,0.1575,true,2.49,10,2026-01-06T18:00:00Z
MKT-23,yes,0.907,0.89,16.85,0.1155,true,1.738,13,2026-01-06T19:30:00Z
MKT-24,yes,0.9617,0.94,15.96,0.063,true,0.8946,5,2026-01-06T21:00:00Z
MKT-25,yes,0.8291,0.81,18.52,0.1995,true,3.3193,5,2026-01-06T22:30:00Z
MKT-26,yes,0.8627,0.84,17.86,0.168,true,2.6896,13,2026-01-07T00:00:00Z
MKT-27,yes,0.8234,0.8,18.75,0.21,true,3.54,10,2026-01-07T01:30:00Z
MKT-28,yes,0.9116,0.89,16.85,0.1155,true,1.738,7,2026-01-07T03:00:00Z
MKT-29,yes,0.9352,0.92,16.3,0.084,true,1.22,7,2026-01-07T04:30:00Z
MKT-30,yes,0.8797,0.86,17.44,0.147,false,-15.1454,7,2026-01-07T06:00:00Z
MKT-31,yes,0.8321,0.81,18.52,0.1995,true,3.3193,13,2026-01-07T07:30:00Z
MKT-32,yes,0.9525,0.93,16.13,0.0735,true,1.0556,10,2026-01-07T09:00:00Z
MKT-33,yes,0.926,0.91,16.48,0.0945,false,-15.0913,10,2026-01-07T10:30:00Z
MKT-34,yes,0.9637,0.94,15.96,0.063,true,0.8946,13,2026-01-07T12:00:00Z
MKT-35,yes,0.8427,0.82,18.29,0.189,true,3.1032,7,2026-01-07T13:30:00Z
MKT-36,yes,0.8927,0.87,17.24,0.1365,true,2.1047,5,2026-01-07T15:00:00Z
MKT-37,yes,0.8623,0.84,17.86,0.168,true,2.6896,10,2026-01-07T16:30:00Z
MKT-38,yes,0.9115,0.89,16.85,0.1155,true,1.738,10,2026-01-07T18:00:00Z
MKT-39,yes,0.9236,0.9,16.67,0.105,true,1.562,7,2026-01-07T19:30:00Z
MKT-40,yes,0.8885,0.87,17.24,0.1365,true,2.1047,5,2026-01-07T21:00:00Z
MKT-41,yes,0.8797,0.86,17.44,0.147,true,2.2946,13,2026-01-07T22:30:00Z
MKT-42,yes,0.9151,0.9,16.67,0.105,true,1.562,13,2026-01-08T00:00:00Z
MKT-43,yes,0.9677,0.95,15.79,0.0525,true,0.737,5,2026-01-08T01:30:00Z
MKT-44,yes,0.871,0.85,17.65,0.1575,true,2.49,5,2026-01-08T03:00:00Z
MKT-45,yes,0.905,0.89,16.85,0.1155,true,1.738,5,2026-01-08T04:30:00Z
MKT-46,yes,0.9121,0.89,16.85,0.1155,true,1.738,10,2026-01-08T06:00:00Z
MKT-47,yes,0.9121,0.89,16.85,0.1155,true,1.738,7,2026-01-08T07:30:00Z
MKT-48,yes,0.9633,0.94,15.96,0.063,true,0.8946,10,2026-01-08T09:00:00Z
MKT-49,yes,0.8384,0.82,18.29,0.189,false,-15.1868,13,2026-01-08T10:30:00Z
MKT-50,yes,0.8921,0.87,17.24,0.1365,true,2.1047,13,2026-01-08T12:00:00Z
MKT-51,yes,0.8353,0.82,18.29,0.189,true,3.1032,7,2026-01-08T13:30:00Z
MKT-52,yes,0.8918,0.87,17.24,0.1365,true,2.1047,10,2026-01-08T15:00:00Z
MKT-53,yes,0.8508,0.83,18.07,0.1785,false,-15.1766,5,2026-01-08T16:30:00Z
MKT-54,yes,0.842,0.82,18.29,0.189,true,3.1032,10,2026-01-08T18:00:00Z
MKT-55,yes,0.9337,0.91,16.48,0.0945,true,1.3887,5,2026-01-08T19:30:00Z
MKT-56,yes,0.9244,0.9,16.67,0.105,true,1.562,5,2026-01-08T21:00:00Z
MKT-57,yes,0.9562,0.94,15.96,0.063,true,0.8946,10,2026-01-08T22:30:00Z
MKT-58,yes,0.8999,0.88,17.05,0.126,true,1.92,7,2026-01-09T00:00:00Z
MKT-59,yes,0.9155,0.9,16.67,0.105,true,1.562,10,2026-01-09T01:30:00Z
MKT-60,yes,0.9409,0.92,16.3,0.084,true,1.22,7,2026-01-09T03:00:00Z
MKT-61,yes,0.85,0.83,18.07,0.1785,true,2.8934,7,2026-01-09T04:30:00Z
MKT-62,yes,0.9684,0.95,15.79,0.0525,true,0.737,5,2026-01-09T06:00:00Z
MKT-63,yes,0.8589,0.84,17.86,0.168,true,2.6896,13,2026-01-09T07:30:00Z
MKT-64,yes,0.8871,0.87,17.24,0.1365,false,-15.1353,10,2026-01-09T09:00:00Z
MKT-65,yes,0.9633,0.94,15.96,0.063,true,0.8946,10,2026-01-09T10:30:00Z
MKT-66,yes,0.8353,0.82,18.29,0.189,true,3.1032,7,2026-01-09T12:00:00Z
MKT-67,yes,0.8507,0.83,18.07,0.1785,true,2.8934,10,2026-01-09T13:30:00Z
MKT-68,yes,0.8919,0.87,17.24,0.1365,true,2.1047,5,2026-01-09T15:00:00Z
MKT-69,yes,0.9452,0.93,16.13,0.0735,true,1.0556,5,2026-01-09T16:30:00Z
MKT-70,yes,0.9373,0.92,16.3,0.084,true,1.22,13,2026-01-09T18:00:00Z
MKT-71,yes,0.9534,0.93,16.13,0.0735,true,1.0556,13,2026-01-09T19:30:00Z
MKT-72,yes,0.833,0.81,18.52,0.1995,false,-15.2007,10,2026-01-09T21:00:00Z
MKT-73,yes,0.8895,0.87,17.24,0.1365,true,2.1047,13,2026-01-09T22:30:00Z
MKT-74,yes,0.9287,0.91,16.48,0.0945,true,1.3887,5,2026-01-10T00:00:00Z
MKT-75,yes,0.8241,0.8,18.75,0.21,true,3.54,7,2026-01-10T01:30:00Z
MKT-76,yes,0.941,0.92,16.3,0.084,true,1.22,13,2026-01-10T03:00:00Z
MKT-77,yes,0.9186,0.9,16.67,0.105,true,1.562,13,2026-01-10T04:30:00Z
MKT-78,yes,0.8232,0.8,18.75,0.21,true,3.54,7,2026-01-10T06:00:00Z
MKT-79,yes,0.899,0.88,17.05,0.126,false,-15.13,5,2026-01-10T07:30:00Z
MKT-80,yes,0.968,0.95,15.79,0.0525,true,0.737,13,2026-01-10T09:00:00Z
MKT-81,yes,0.8242,0.8,18.75,0.21,true,3.54,7,2026-01-10T10:30:00Z
MKT-82,yes,0.9346,0.91,16.48,0.0945,true,1.3887,7,2026-01-10T12:00:00Z
MKT-83,yes,0.9451,0.93,16.13,0.0735,true,1.0556,13,2026-01-10T13:30:00Z
MKT-84,yes,0.9547,0.93,16.13,0.0735,true,1.0556,10,2026-01-10T15:00:00Z
MKT-85,yes,0.9441,0.92,16.3,0.084,true,1.22,13,2026-01-10T16:30:00Z
MKT-86,yes,0.8998,0.88,17.05,0.126,true,1.92,7,2026-01-10T18:00:00Z
MKT-87,yes,0.9509,0.93,16.13,0.0735,true,1.0556,5,2026-01-10T19:30:00Z
MKT-88,yes,0.9364,0.92,16.3,0.084,true,1.22,5,2026-01-10T21:00:00Z
MKT-89,yes,0.891,0.87,17.24,0.1365,true,2.1047,7,2026-01-10T22:30:00Z
MKT-90,yes,0.8689,0.85,17.65,0.1575,true,2.49,5,2026-01-11T00:00:00Z
MKT-91,yes,0.9376,0.92,16.3,0.084,true,1.22,13,2026-01-11T01:30:00Z
MKT-92,yes,0.8573,0.84,17.86,0.168,true,2.6896,5,2026-01-11T03:00:00Z
MKT-93,yes,0.8962,0.88,17.05,0.126,true,1.92,5,2026-01-11T04:30:00Z
MKT-94,yes,0.8865,0.87,17.24,0.1365,true,2.1047,5,2026-01-11T06:00:00Z
MKT-95,yes,0.9239,0.9,16.67,0.105,true,1.562,7,2026-01-11T07:30:00Z
MKT-96,yes,0.8962,0.88,17.05,0.126,true,1.92,13,2026-01-11T09:00:00Z
MKT-97,yes,0.9584,0.94,15.96,0.063,true,0.8946,10,2026-01-11T10:30:00Z
MKT-98,yes,0.946,0.93,16.13,0.0735,true,1.0556,7,2026-01-11T12:00:00Z
MKT-99,yes,0.8789,0.86,17.44,0.147,true,2.2946,5,2026-01-11T13:30:00Z
MKT-100,yes,0.8843,0.86,17.44,0.147,true,2.2946,7,2026-01-11T15:00:00Z
MKT-101,yes,0.9376,0.92,16.3,0.084,true,1.22,10,2026-01-11T16:30:00Z
MKT-102,yes,0.9609,0.94,15.96,0.063,true,0.8946,7,2026-01-11T18:00:00Z
MKT-103,yes,0.8414,0.82,18.29,0.189,false,-15.1868,10,2026-01-11T19:30:00Z
MKT-104,yes,0.8529,0.83,18.07,0.1785,false,-15.1766,13,2026-01-11T21:00:00Z
MKT-105,yes,0.9527,0.93,16.13,0.0735,true,1.0556,13,2026-01-11T22:30:00Z
MKT-106,yes,0.8442,0.82,18.29,0.189,true,3.1032,7,2026-01-12T00:00:00Z
MKT-107,yes,0.8709,0.85,17.65,0.1575,true,2.49,13,2026-01-12T01:30:00Z
MKT-108,yes,0.8338,0.81,18.52,0.1995,true,3.3193,10,2026-01-12T03:00:00Z
MKT-109,yes,0.9031,0.88,17.05,0.126,true,1.92,10,2026-01-12T04:30:00Z
MKT-110,yes,0.8777,0.86,17.44,0.147,true,2.2946,5,2026-01-12T06:00:00Z
MKT-111,yes,0.8968,0.88,17.05,0.126,true,1.92,10,2026-01-12T07:30:00Z
MKT-112,yes,0.9658,0.95,15.79,0.0525,true,0.737,7,2026-01-12T09:00:00Z
MKT-113,yes,0.8608,0.84,17.86,0.168,false,-15.1704,10,2026-01-12T10:30:00Z
MKT-114,yes,0.8606,0.84,17.86,0.168,true,2.6896,7,2026-01-12T12:00:00Z
MKT-115,yes,0.9474,0.93,16.13,0.0735,true,1.0556,13,2026-01-12T13:30:00Z
MKT-116,yes,0.8809,0.86,17.44,0.147,true,2.2946,10,2026-01-12T15:00:00Z
MKT-117,yes,0.9251,0.91,16.48,0.0945,true,1.3887,13,2026-01-12T16:30:00Z
MKT-118,yes,0.9399,0.92,16.3,0.084,true,1.22,5,2026-01-12T18:00:00Z
MKT-119,yes,0.8603,0.84,17.86,0.168,true,2.6896,5,2026-01-12T19:30:00Z
MKT-120,yes,0.9402,0.92,16.3,0.084,true,1.22,5,2026-01-12T21:00:00Z
MKT-121,yes,0.83,0.81,18.52,0.1995,false,-15.2007,7,2026-01-12T22:30:00Z
MKT-122,yes,0.8217,0.8,18.75,0.21,false,-15.21,13,2026-01-13T00:00:00Z
MKT-123,yes,0.959,0.94,15.96,0.063,true,0.8946,13,2026-01-13T01:30:00Z
MKT-124,yes,0.8265,0.81,18.52,0.1995,true,3.3193,7,2026-01-13T03:00:00Z
MKT-125,yes,0.9654,0.95,15.79,0.0525,true,0.737,5,2026-01-13T04:30:00Z
MKT-126,yes,0.8503,0.83,18.07,0.1785,true,2.8934,7,2026-01-13T06:00:00Z
MKT-127,yes,0.8997,0.88,17.05,0.126,true,1.92,10,2026-01-13T07:30:00Z
MKT-128,yes,0.895,0.88,17.05,0.126,true,1.92,13,2026-01-13T09:00:00Z
MKT-129,yes,0.9406,0.92,16.3,0.084,false,-15.08,10,2026-01-13T10:30:00Z
MKT-130,yes,0.8223,0.8,18.75,0.21,true,3.54,5,2026-01-13T12:00:00Z
MKT-131,yes,0.8971,0.88,17.05,0.126,true,1.92,7,2026-01-13T13:30:00Z
MKT-132,yes,0.8359,0.82,18.29,0.189,false,-15.1868,13,2026-01-13T15:00:00Z
MKT-133,yes,0.9185,0.9,16.67,0.105,true,1.562,13,2026-01-13T16:30:00Z
MKT-134,yes,0.9655,0.95,15.79,0.0525,true,0.737,13,2026-01-13T18:00:00Z
MKT-135,yes,0.9674,0.95,15.79,0.0525,true,0.737,7,2026-01-13T19:30:00Z
MKT-136,yes,0.8807,0.86,17.44,0.147,true,2.2946,7,2026-01-13T21:00:00Z
MKT-137,yes,0.9455,0.93,16.13,0.0735,true,1.0556,5,2026-01-13T22:30:00Z
MKT-138,yes,0.8846,0.86,17.44,0.147,true,2.2946,10,2026-01-14T00:00:00Z
MKT-139,yes,0.9506,0.93,16.13,0.0735,true,1.0556,13,2026-01-14T01:30:00Z
MKT-140,yes,0.9098,0.89,16.85,0.1155,true,1.738,10,2026-01-14T03:00:00Z
MKT-141,yes,0.8889,0.87,17.24,0.1365,true,2.1047,5,2026-01-14T04:30:00Z
MKT-142,yes,0.8205,0.8,18.75,0.21,true,3.54,13,2026-01-14T06:00:00Z
MKT-143,yes,0.9659,0.95,15.79,0.0525,true,0.737,10,2026-01-14T07:30:00Z
MKT-144,yes,0.8252,0.81,18.52,0.1995,false,-15.2007,7,2026-01-14T09:00:00Z
MKT-145,yes,0.8735,0.85,17.65,0.1575,true,2.49,7,2026-01-14T10:30:00Z
MKT-146,yes,0.8326,0.81,18.52,0.1995,true,3.3193,13,2026-01-14T12:00:00Z
MKT-147,yes,0.8572,0.84,17.86,0.168,true,2.6896,7,2026-01-14T13:30:00Z
MKT-148,yes,0.8596,0.84,17.86,0.168,true,2.6896,5,2026-01-14T15:00:00Z
MKT-149,yes,0.908,0.89,16.85,0.1155,true,1.738,13,2026-01-14T16:30:00Z
MKT-150,yes,0.8656,0.85,17.65,0.1575,true,2.49,10,2026-01-14T18:00:00Z
MKT-151,yes,0.9186,0.9,16.67,0.105,true,1.562,7,2026-01-14T19:30:00Z
MKT-152,yes,0.9346,0.91,16.48,0.0945,true,1.3887,13,2026-01-14T21:00:00Z
MKT-153,yes,0.8424,0.82,18.29,0.189,true,3.1032,13,2026-01-14T22:30:00Z
MKT-154,yes,0.8266,0.81,18.52,0.1995,false,-15.2007,7,2026-01-15T00:00:00Z
MKT-155,yes,0.9301,0.91,16.48,0.0945,true,1.3887,13,2026-01-15T01:30:00Z
MKT-156,yes,0.9565,0.94,15.96,0.063,true,0.8946,7,2026-01-15T03:00:00Z
MKT-157,yes,0.944,0.92,16.3,0.084,true,1.22,5,2026-01-15T04:30:00Z
MKT-158,yes,0.8328,0.81,18.52,0.1995,true,3.3193,7,2026-01-15T06:00:00Z
MKT-159,yes,0.9639,0.94,15.96,0.063,true,0.8946,10,2026-01-15T07:30:00Z
MKT-160,yes,0.9038,0.88,17.05,0.126,true,1.92,13,2026-01-15T09:00:00Z
MKT-161,yes,0.8934,0.87,17.24,0.1365,true,2.1047,7,2026-01-15T10:30:00Z
MKT-162,yes,0.9322,0.91,16.48,0.0945,true,1.3887,5,2026-01-15T12:00:00Z
MKT-163,yes,0.9189,0.9,16.67,0.105,true,1.562,5,2026-01-15T13:30:00Z
MKT-164,yes,0.8578,0.84,17.86,0.168,true,2.6896,13,2026-01-15T15:00:00Z
MKT-165,yes,0.8552,0.84,17.86,0.168,true,2.6896,10,2026-01-15T16:30:00Z
MKT-166,yes,0.931,0.91,16.48,0.0945,false,-15.0913,7,2026-01-15T18:00:00Z
MKT-167,yes,0.9468,0.93,16.13,0.0735,true,1.0556,13,2026-01-15T19:30:00Z
MKT-168,yes,0.935,0.92,16.3,0.084,true,1.22,10,2026-01-15T21:00:00Z
MKT-169,yes,0.8316,0.81,18.52,0.1995,true,3.3193,7,2026-01-15T22:30:00Z
MKT-170,yes,0.9177,0.9,16.67,0.105,true,1.562,10,2026-01-16T00:00:00Z
MKT-171,yes,0.8219,0.8,18.75,0.21,true,3.54,7,2026-01-16T01:30:00Z
MKT-172,yes,0.9659,0.95,15.79,0.0525,true,0.737,10,2026-01-16T03:00:00Z
MKT-173,yes,0.9214,0.9,16.67,0.105,true,1.562,7,2026-01-16T04:30:00Z
MKT-174,yes,0.8897,0.87,17.24,0.1365,true,2.1047,10,2026-01-16T06:00:00Z
MKT-175,yes,0.969,0.95,15.79,0.0525,true,0.737,5,2026-01-16T07:30:00Z
MKT-176,yes,0.9667,0.95,15.79,0.0525,true,0.737,10,2026-01-16T09:00:00Z
MKT-177,yes,0.8634,0.84,17.86,0.168,true,2.6896,5,2026-01-16T10:30:00Z
MKT-178,yes,0.9691,0.95,15.79,0.0525,true,0.737,13,2026-01-16T12:00:00Z
MKT-179,yes,0.8312,0.81,18.52,0.1995,true,3.3193,7,2026-01-16T13:30:00Z
MKT-180,yes,0.9629,0.94,15.96,0.063,true,0.8946,10,2026-01-16T15:00:00Z
MKT-181,yes,0.953,0.93,16.13,0.0735,true,1.0556,10,2026-01-16T16:30:00Z
MKT-182,yes,0.8947,0.87,17.24,0.1365,true,2.1047,7,2026-01-16T18:00:00Z
MKT-183,yes,0.8237,0.8,18.75,0.21,true,3.54,13,2026-01-16T19:30:00Z
MKT-184,yes,0.9222,0.9,16.67,0.105,true,1.562,13,2026-01-16T21:00:00Z
MKT-185,yes,0.8824,0.86,17.44,0.147,true,2.2946,7,2026-01-16T22:30:00Z
MKT-186,yes,0.946,0.93,16.13,0.0735,true,1.0556,5,2026-01-17T00:00:00Z
MKT-187,yes,0.9459,0.93,16.13,0.0735,true,1.0556,10,2026-01-17T01:30:00Z
MKT-188,yes,0.927,0.91,16.48,0.0945,true,1.3887,7,2026-01-17T03:00:00Z
MKT-189,yes,0.858,0.84,17.86,0.168,true,2.6896,10,2026-01-17T04:30:00Z
MKT-190,yes,0.9698,0.95,15.79,0.0525,true,0.737,13,2026-01-17T06:00:00Z
MKT-191,yes,0.9588,0.94,15.96,0.063,true,0.8946,10,2026-01-17T07:30:00Z
MKT-192,yes,0.8621,0.84,17.86,0.168,true,2.6896,5,2026-01-17T09:00:00Z
MKT-193,yes,0.9152,0.9,16.67,0.105,true,1.562,10,2026-01-17T10:30:00Z
MKT-194,yes,0.8854,0.87,17.24,0.1365,true,2.1047,10,2026-01-17T12:00:00Z
MKT-195,yes,0.9378,0.92,16.3,0.084,true,1.22,10,2026-01-17T13:30:00Z
MKT-196,yes,0.9418,0.92,16.3,0.084,true,1.22,5,2026-01-17T15:00:00Z
MKT-197,yes,0.9279,0.91,16.48,0.0945,true,1.3887,7,2026-01-17T16:30:00Z
MKT-198,yes,0.8876,0.87,17.24,0.1365,true,2.1047,13,2026-01-17T18:00:00Z
MKT-199,yes,0.8928,0.87,17.24,0.1365,false,-15.1353,10,2026-01-17T19:30:00Z
MKT-200,yes,0.8456,0.83,18.07,0.1785,true,2.8934,7,2026-01-17T21:00:00Z
MKT-201,yes,0.8647,0.84,17.86,0.168,true,2.6896,10,2026-01-17T22:30:00Z
MKT-202,yes,0.8809,0.86,17.44,0.147,true,2.2946,10,2026-01-18T00:00:00Z
MKT-203,yes,0.9036,0.88,17.05,0.126,true,1.92,13,2026-01-18T01:30:00Z
MKT-204,yes,0.9165,0.9,16.67,0.105,true,1.562,7,2026-01-18T03:00:00Z
MKT-205,yes,0.9026,0.88,17.05,0.126,true,1.92,13,2026-01-18T04:30:00Z
MKT-206,yes,0.9695,0.95,15.79,0.0525,true,0.737,10,2026-01-18T06:00:00Z
MKT-207,yes,0.9022,0.88,17.05,0.126,true,1.92,7,2026-01-18T07:30:00Z
MKT-208,yes,0.8713,0.85,17.65,0.1575,true,2.49,7,2026-01-18T09:00:00Z
MKT-209,yes,0.8752,0.86,17.44,0.147,true,2.2946,7,2026-01-18T10:30:00Z
MKT-210,yes,0.9531,0.93,16.13,0.0735,true,1.0556,7,2026-01-18T12:00:00Z
MKT-211,yes,0.8774,0.86,17.44,0.147,true,2.2946,13,2026-01-18T13:30:00Z
MKT-212,yes,0.8765,0.86,17.44,0.147,true,2.2946,7,2026-01-18T15:00:00Z
MKT-213,yes,0.8947,0.87,17.24,0.1365,true,2.1047,5,2026-01-18T16:30:00Z
MKT-214,yes,0.8389,0.82,18.29,0.189,true,3.1032,10,2026-01-18T18:00:00Z
MKT-215,yes,0.8339,0.81,18.52,0.1995,false,-15.2007,7,2026-01-18T19:30:00Z
MKT-216,yes,0.88,0.86,17.44,0.147,true,2.2946,13,2026-01-18T21:00:00Z
