ticker,model_p,entry_price,shares,fee,won,pnl,ts
MKT-0,0.8405,0.844,17.77,0.1638,true,2.6083,2026-01-05T09:00:00Z
MKT-1,0.8629,0.867,17.3,0.1396,true,2.1613,2026-01-05T10:30:00Z
MKT-2,0.9064,0.91,16.48,0.0945,true,1.3887,2026-01-05T12:00:00Z
MKT-3,0.8022,0.806,18.61,0.2037,false,-15.2034,2026-01-05T13:30:00Z
MKT-4,0.8441,0.848,17.69,0.1596,true,2.5293,2026-01-05T15:00:00Z
MKT-5,0.9693,0.973,15.42,0.0284,true,0.3879,2026-01-05T16:30:00Z
MKT-6,0.9422,0.946,15.86,0.0567,true,0.7997,2026-01-05T18:00:00Z
MKT-7,0.9086,0.913,16.43,0.0914,true,1.338,2026-01-05T19:30:00Z
MKT-8,0.9079,0.912,16.45,0.0924,true,1.3552,2026-01-05T21:00:00Z
MKT-9,0.8889,0.893,16.8,0.1124,true,1.6852,2026-01-05T22:30:00Z
MKT-10,0.9141,0.918,16.34,0.0861,true,1.2538,2026-01-06T00:00:00Z
MKT-11,0.9289,0.933,16.08,0.0704,true,1.007,2026-01-06T01:30:00Z
MKT-12,0.8512,0.855,17.54,0.1522,true,2.3911,2026-01-06T03:00:00Z
MKT-13,0.9471,0.951,15.77,0.0514,true,0.7213,2026-01-06T04:30:00Z
MKT-14,0.9222,0.926,16.2,0.0777,true,1.1211,2026-01-06T06:00:00Z
MKT-15,0.9214,0.925,16.22,0.0788,false,-15.0823,2026-01-06T07:30:00Z
MKT-16,0.8671,0.871,17.22,0.1354,true,2.086,2026-01-06T09:00:00Z
MKT-17,0.8756,0.88,17.05,0.126,false,-15.13,2026-01-06T10:30:00Z
MKT-18,0.9494,0.953,15.74,0.0494,true,0.6904,2026-01-06T12:00:00Z
MKT-19,0.8231,0.827,18.14,0.1817,true,2.9565,2026-01-06T13:30:00Z
MKT-20,0.9641,0.968,15.5,0.0336,true,0.4624,2026-01-06T15:00:00Z
MKT-21,0.9065,0.911,16.47,0.0935,true,1.3723,2026-01-06T16:30:00Z
MKT-22,0.8862,0.89,16.85,0.1155,true,1.738,2026-01-06T18:00:00Z
MKT-23,0.8597,0.864,17.36,0.1428,true,2.2182,2026-01-06T19:30:00Z
MKT-24,0.8993,0.903,16.61,0.1018,false,-15.1006,2026-01-06T21:00:00Z
MKT-25,0.9159,0.92,16.3,0.084,false,-15.08,2026-01-06T22:30:00Z
MKT-26,0.9456,0.95,15.79,0.0525,false,-15.053,2026-01-07T00:00:00Z
MKT-27,0.9141,0.918,16.34,0.0861,true,1.2538,2026-01-07T01:30:00Z
MKT-28,0.9463,0.95,15.79,0.0525,false,-15.053,2026-01-07T03:00:00Z
MKT-29,0.9538,0.958,15.66,0.0441,true,0.6136,2026-01-07T04:30:00Z
MKT-30,0.9213,0.925,16.22,0.0788,true,1.1377,2026-01-07T06:00:00Z
MKT-31,0.9414,0.945,15.87,0.0577,true,0.8152,2026-01-07T07:30:00Z
MKT-32,0.8484,0.852,17.61,0.1554,true,2.4509,2026-01-07T09:00:00Z
MKT-33,0.9452,0.949,15.81,0.0536,false,-15.0573,2026-01-07T10:30:00Z
MKT-34,0.815,0.819,18.32,0.1901,true,3.1258,2026-01-07T12:00:00Z
MKT-35,0.8698,0.874,17.16,0.1323,true,2.0299,2026-01-07T13:30:00Z
MKT-36,0.85,0.854,17.56,0.1533,true,2.4105,2026-01-07T15:00:00Z
MKT-37,0.9484,0.952,15.76,0.0504,true,0.7061,2026-01-07T16:30:00Z
MKT-38,0.9045,0.908,16.52,0.0966,true,1.4232,2026-01-07T18:00:00Z
MKT-39,0.9221,0.926,16.2,0.0777,true,1.1211,2026-01-07T19:30:00Z
MKT-40,0.9498,0.954,15.72,0.0483,false,-15.0452,2026-01-07T21:00:00Z
MKT-41,0.8859,0.89,16.85,0.1155,false,-15.112,2026-01-07T22:30:00Z
MKT-42,0.8526,0.857,17.5,0.1501,true,2.3524,2026-01-08T00:00:00Z
MKT-43,0.902,0.906,16.56,0.0987,true,1.4579,2026-01-08T01:30:00Z
MKT-44,0.8336,0.838,17.9,0.1701,true,2.7297,2026-01-08T03:00:00Z
MKT-45,0.9038,0.908,16.52,0.0966,true,1.4232,2026-01-08T04:30:00Z
MKT-46,0.8072,0.811,18.5,0.1985,false,-15.202,2026-01-08T06:00:00Z
MKT-47,0.8534,0.857,17.5,0.1501,false,-15.1476,2026-01-08T07:30:00Z
MKT-48,0.9524,0.956,15.69,0.0462,true,0.6442,2026-01-08T09:00:00Z
MKT-49,0.8783,0.882,17.01,0.1239,true,1.8833,2026-01-08T10:30:00Z
MKT-50,0.9095,0.913,16.43,0.0914,true,1.338,2026-01-08T12:00:00Z
MKT-51,0.8951,0.899,16.69,0.1061,true,1.5796,2026-01-08T13:30:00Z
MKT-52,0.9599,0.964,15.56,0.0378,true,0.5224,2026-01-08T15:00:00Z
MKT-53,0.8733,0.877,17.1,0.1291,true,1.9742,2026-01-08T16:30:00Z
MKT-54,0.8404,0.844,17.77,0.1638,true,2.6083,2026-01-08T18:00:00Z
MKT-55,0.9662,0.97,15.46,0.0315,true,0.4323,2026-01-08T19:30:00Z
MKT-56,0.8932,0.897,16.72,0.1081,true,1.6141,2026-01-08T21:00:00Z
MKT-57,0.8706,0.875,17.14,0.1312,true,2.0113,2026-01-08T22:30:00Z
MKT-58,0.8034,0.807,18.59,0.2027,true,3.3852,2026-01-09T00:00:00Z
MKT-59,0.9075,0.911,16.47,0.0935,true,1.3723,2026-01-09T01:30:00Z
MKT-60,0.9066,0.911,16.47,0.0935,true,1.3723,2026-01-09T03:00:00Z
MKT-61,0.9155,0.919,16.32,0.085,true,1.2369,2026-01-09T04:30:00Z
MKT-62,0.9202,0.924,16.23,0.0798,true,1.1537,2026-01-09T06:00:00Z
MKT-63,0.8038,0.808,18.56,0.2016,true,3.3619,2026-01-09T07:30:00Z
MKT-64,0.9149,0.919,16.32,0.085,false,-15.0831,2026-01-09T09:00:00Z
MKT-65,0.8427,0.847,17.71,0.1607,true,2.5489,2026-01-09T10:30:00Z
MKT-66,0.9008,0.905,16.57,0.0997,true,1.4744,2026-01-09T12:00:00Z
MKT-67,0.8619,0.866,17.32,0.1407,true,2.1802,2026-01-09T13:30:00Z
MKT-68,0.8628,0.867,17.3,0.1396,true,2.1613,2026-01-09T15:00:00Z
MKT-69,0.8511,0.855,17.54,0.1522,true,2.3911,2026-01-09T16:30:00Z
MKT-70,0.9313,0.935,16.04,0.0682,true,0.9744,2026-01-09T18:00:00Z
MKT-71,0.8968,0.901,16.65,0.104,true,1.5443,2026-01-09T19:30:00Z
MKT-72,0.8527,0.857,17.5,0.1501,true,2.3524,2026-01-09T21:00:00Z
MKT-73,0.9366,0.941,15.94,0.0619,true,0.8786,2026-01-09T22:30:00Z
MKT-74,0.8319,0.836,17.94,0.1722,true,2.77,2026-01-10T00:00:00Z
MKT-75,0.9187,0.923,16.25,0.0808,true,1.1704,2026-01-10T01:30:00Z
MKT-76,0.8547,0.859,17.46,0.148,true,2.3139,2026-01-10T03:00:00Z
MKT-77,0.9417,0.946,15.86,0.0567,true,0.7997,2026-01-10T04:30:00Z
MKT-78,0.9454,0.949,15.81,0.0536,true,0.7527,2026-01-10T06:00:00Z
MKT-79,0.8572,0.861,17.42,0.1459,true,2.2755,2026-01-10T07:30:00Z
MKT-80,0.9504,0.954,15.72,0.0483,true,0.6748,2026-01-10T09:00:00Z
